item_id,vendor_code,retail_price,qty_on_hand,expiry_date
SKU-1000,V-18,67.02,300,2027-08-20
SKU-1001,V-34,24.13,440,2027-08-04
SKU-1002,V-77,55.45,270,2027-03-25
SKU-1003,V-97,98.92,5,2027-11-28
SKU-1004,V-89,6.42,96,2027-08-31
SKU-1005,V-58,62.08,223,2027-09-25
SKU-1006,V-20,12.12,440,2027-02-01
SKU-1007,V-62,46.79,27,2027-11-02
SKU-1008,V-63,73.75,481,2027-10-28
SKU-1009,V-76,34.27,350,2027-09-06
SKU-1010,V-24,55.07,270,2027-02-05
SKU-1011,V-44,95.31,426,2027-02-28
SKU-1012,V-34,12.3,92,2027-08-13
SKU-1013,V-25,98.25,245,2027-06-15
SKU-1014,V-70,74.5,113,2027-11-16
SKU-1015,V-68,84.96,343,2027-01-04
SKU-1016,V-26,73.49,380,2027-03-06
SKU-1017,V-19,26.94,285,2027-05-09
SKU-1018,V-96,94.91,337,2027-04-15
SKU-1019,V-12,27.75,434,2027-05-25
SKU-1020,V-37,97.27,230,2027-09-12
SKU-1021,V-14,68.05,238,2027-12-11
SKU-1022,V-41,81.17,453,2027-11-14
SKU-1023,V-11,44.86,7,2027-08-24
SKU-1024,V-23,11.81,4,2027-03-31
SKU-1025,V-93,97.07,471,2027-02-12
SKU-1026,V-14,39.46,194,2027-03-08
SKU-1027,V-69,45.21,275,2027-03-01
SKU-1028,V-77,19.92,342,2027-07-28
SKU-1029,V-17,89.22,82,2027-05-31
SKU-1030,V-59,47.95,354,2027-01-28
SKU-1031,V-57,22.03,180,2027-02-23
SKU-1032,V-75,61.31,339,2027-11-21
SKU-1033,V-71,52.25,76,2027-06-11
SKU-1034,V-24,40.89,139,2027-04-06
SKU-1035,V-65,32.98,293,2027-03-27
SKU-1036,V-81,59.27,335,2027-03-11
SKU-1037,V-90,39.49,379,2027-12-23
SKU-1038,V-12,45.64,393,2027-10-20
SKU-1039,V-29,25.45,241,2027-03-08
SKU-1040,V-73,58.38,11,2027-12-01
SKU-1041,V-63,95.63,286,2027-11-24
SKU-1042,V-37,59.85,453,2027-01-02
SKU-1043,V-66,29.22,449,2027-04-16
SKU-1044,V-40,8.4,307,2027-11-16
SKU-1045,V-58,56.68,154,2027-03-01
SKU-1046,V-57,19.59,183,2027-04-22
SKU-1047,V-49,57.74,115,2027-07-07
SKU-1048,V-48,14.41,37,2027-03-09
SKU-1049,V-54,38.19,245,2027-08-07
SKU-1050,V-28,33.67,240,2027-12-18
SKU-1051,V-74,55.23,473,2027-10-06
SKU-1052,V-66,20.6,292,2027-11-09
SKU-1053,V-44,25.9,295,2027-10-31
SKU-1054,V-63,81.13,338,2027-07-01
SKU-1055,V-84,92.66,387,2027-12-04
SKU-1056,V-27,90.09,33,2027-12-16
SKU-1057,V-82,44.02,421,2027-04-24
SKU-1058,V-23,3.11,297,2027-07-23
SKU-1059,V-40,78.73,53,2027-11-07
SKU-1060,V-27,19.08,6,2027-12-25
SKU-1061,V-63,58.07,112,2027-10-09
SKU-1062,V-78,36.28,14,2027-05-07
SKU-1063,V-60,76.52,382,2027-07-13
SKU-1064,V-93,53.75,274,2027-09-10
SKU-1065,V-63,37.04,274,2027-01-19
SKU-1066,V-88,41.72,383,2027-10-10
SKU-1067,V-10,25.38,94,2027-12-31
SKU-1068,V-23,12.09,403,2027-09-04
SKU-1069,V-67,22.08,340,2027-03-13
SKU-1070,V-86,70.26,457,2027-10-15
SKU-1071,V-13,92.48,15,2027-01-13
SKU-1072,V-80,89.19,236,2027-12-09
SKU-1073,V-13,36.15,77,2027-02-05
SKU-1074,V-94,82.49,281,2027-11-04
SKU-1075,V-89,38.77,47,2027-03-26
SKU-1076,V-20,4.37,421,2027-07-26
SKU-1077,V-97,88.83,57,2027-05-04
SKU-1078,V-70,50.22,26,2027-01-03
SKU-1079,V-13,3.59,366,2027-12-31
SKU-1080,V-58,89.29,237,2027-08-04
SKU-1081,V-62,99.27,443,2027-01-22
SKU-1082,V-53,28.74,309,2027-06-10
SKU-1083,V-46,45.2,430,2027-07-28
SKU-1084,V-15,85.31,303,2027-03-06
SKU-1085,V-81,47.96,86,2027-12-01
SKU-1086,V-48,28.47,113,2027-09-09
SKU-1087,V-96,84.32,45,2027-11-02
SKU-1088,V-52,20.32,462,2027-08-24
SKU-1089,V-94,85.78,444,2027-05-26
SKU-1090,V-86,31.47,428,2027-02-22
SKU-1091,V-43,12.37,136,2027-09-13
SKU-1092,V-68,23.97,93,2027-10-15
SKU-1093,V-52,19.82,135,2027-11-02
SKU-1094,V-32,89.79,181,2027-11-14
SKU-1095,V-10,71.57,36,2027-07-28
SKU-1096,V-65,27.96,448,2027-12-26
SKU-1097,V-29,33.81,231,2027-04-20
SKU-1098,V-63,14.21,162,2027-01-14
SKU-1099,V-78,47.71,260,2027-01-24
SKU-1100,V-72,87.67,140,2027-02-03
SKU-1101,V-60,66.07,424,2027-04-10
SKU-1102,V-78,74.16,290,2027-08-22
SKU-1103,V-45,83.3,93,2027-10-19
SKU-1104,V-33,79.18,123,2027-03-26
SKU-1105,V-19,75.98,480,2027-02-24
SKU-1106,V-58,59.68,271,2027-07-28
SKU-1107,V-31,22.64,466,2027-01-28
SKU-1108,V-35,49.31,396,2027-07-15
SKU-1109,V-64,62.47,341,2027-10-21
SKU-1110,V-16,95.6,151,2027-02-02
SKU-1111,V-47,25.36,323,2027-10-30
SKU-1112,V-68,8.87,367,2027-04-19
SKU-1113,V-49,50.34,316,2027-12-03
SKU-1114,V-61,44.14,79,2027-05-13
SKU-1115,V-40,30.62,393,2027-10-10
SKU-1116,V-76,49.44,63,2027-03-02
SKU-1117,V-34,89.32,439,2027-04-10
SKU-1118,V-65,51.24,328,2027-11-21
SKU-1119,V-27,36.68,144,2027-06-01
SKU-1120,V-55,90.48,475,2027-06-22
SKU-1121,V-55,72.1,127,2027-03-16
SKU-1122,V-45,64.9,154,2027-10-15
SKU-1123,V-26,25.88,246,2027-03-18
SKU-1124,V-22,14.79,27,2027-04-22
SKU-1125,V-96,75.93,88,2027-04-01
SKU-1126,V-92,57.02,232,2027-11-19
SKU-1127,V-77,15.66,418,2027-12-31
SKU-1128,V-30,95.01,151,2027-12-01
SKU-1129,V-20,23.94,251,2027-06-11
SKU-1130,V-18,99.34,58,2027-09-06
SKU-1131,V-82,81.13,458,2027-03-13
SKU-1132,V-40,62.25,251,2027-01-18
SKU-1133,V-22,16.81,140,2027-11-09
SKU-1134,V-28,78.94,172,2027-08-06
SKU-1135,V-54,92.42,182,2027-11-13
SKU-1136,V-67,9.86,211,2027-09-01
SKU-1137,V-10,18.17,391,2027-09-26
SKU-1138,V-83,79.63,356,2027-04-20
SKU-1139,V-64,73.71,435,2027-09-29
SKU-1140,V-76,85.33,82,2027-06-03
SKU-1141,V-26,59.18,169,2027-06-03
SKU-1142,V-15,11.94,29,2027-09-21
SKU-1143,V-61,51.98,253,2027-08-17
SKU-1144,V-44,11.93,75,2027-07-02
SKU-1145,V-77,74.41,326,2027-10-13
SKU-1146,V-88,27.31,479,2027-08-31
SKU-1147,V-64,64.04,142,2027-01-11
SKU-1148,V-87,2.12,9,2027-03-19
